id,zipcode,name,country_id/id,state_id/id
2970_SGravenwezel,2970,'S Gravenwezel,base.be,l10n_be.state_be_van
3700_SHerenelderen,3700,'S Herenelderen,base.be,l10n_be.state_be_vli
7510_3Suisses,7510,3 Suisses,base.be,
9420_Aaigem,9420,Aaigem,base.be,l10n_be.state_be_vov
8511_Aalbeke,8511,Aalbeke,base.be,l10n_be.state_be_vwv
3800_Aalst,3800,Aalst,base.be,l10n_be.state_be_vli
9300_Aalst,9300,Aalst,base.be,l10n_be.state_be_vov
9880_Aalter,9880,Aalter,base.be,l10n_be.state_be_vov
3200_Aarschot,3200,Aarschot,base.be,l10n_be.state_be_vbr
8700_Aarsele,8700,Aarsele,base.be,l10n_be.state_be_vwv
8211_Aartrijke,8211,Aartrijke,base.be,l10n_be.state_be_vwv
2630_Aartselaar,2630,Aartselaar,base.be,l10n_be.state_be_van
4557_Abee,4557,Abée,base.be,l10n_be.state_be_wlg
4280_Abolens,4280,Abolens,base.be,l10n_be.state_be_wlg
3930_Achel,3930,Achel,base.be,l10n_be.state_be_vli
5590_Achene,5590,Achêne,base.be,l10n_be.state_be_wna
5362_Achet,5362,Achet,base.be,l10n_be.state_be_wna
4219_Acosse,4219,Acosse,base.be,l10n_be.state_be_wlg
6280_Acoz,6280,Acoz,base.be,l10n_be.state_be_wht
1105_Actisoc,1105,Actisoc,base.be,
9991_Adegem,9991,Adegem,base.be,l10n_be.state_be_vov
8660_Adinkerke,8660,Adinkerke,base.be,l10n_be.state_be_vwv
1790_Affligem,1790,Affligem,base.be,l10n_be.state_be_vbr
9051_Afsnee,9051,Afsnee,base.be,l10n_be.state_be_vov
5544_Agimont,5544,Agimont,base.be,l10n_be.state_be_wna
4317_Aineffe,4317,Aineffe,base.be,l10n_be.state_be_wlg
5310_AischeEnRefail,5310,Aische-En-Refail,base.be,l10n_be.state_be_wna
6250_Aiseau,6250,Aiseau,base.be,l10n_be.state_be_wht
6250_AiseauPresles,6250,Aiseau-Presles,base.be,l10n_be.state_be_wht
5070_Aisemont,5070,Aisemont,base.be,l10n_be.state_be_wna
3570_Alken,3570,Alken,base.be,l10n_be.state_be_vli
5550_Alle,5550,Alle,base.be,l10n_be.state_be_wna
4432_Alleur,4432,Alleur,base.be,l10n_be.state_be_wlg
1652_Alsemberg,1652,Alsemberg,base.be,l10n_be.state_be_vbr
8690_Alveringem,8690,Alveringem,base.be,l10n_be.state_be_vwv
4540_Amay,4540,Amay,base.be,l10n_be.state_be_wlg
6680_Amberloup,6680,Amberloup,base.be,l10n_be.state_be_wlx
6953_Ambly,6953,Ambly,base.be,l10n_be.state_be_wlx
4219_Ambresin,4219,Ambresin,base.be,l10n_be.state_be_wlg
4770_Amel,4770,Amel,base.be,l10n_be.state_be_wlg
6997_Amonines,6997,Amonines,base.be,l10n_be.state_be_wlx
7750_Amougies,7750,Amougies,base.be,l10n_be.state_be_wht
4540_Ampsin,4540,Ampsin,base.be,l10n_be.state_be_wlg
5300_Andenne,5300,Andenne,base.be,l10n_be.state_be_wna
1070_Anderlecht,1070,Anderlecht,base.be,state_be_bru
6150_Anderlues,6150,Anderlues,base.be,l10n_be.state_be_wht
4821_Andrimont,4821,Andrimont,base.be,l10n_be.state_be_wlg
4031_Angleur,4031,Angleur,base.be,l10n_be.state_be_wlg
7387_Angre,7387,Angre,base.be,l10n_be.state_be_wht
7387_Angreau,7387,Angreau,base.be,l10n_be.state_be_wht
5537_Anhee,5537,Anhée,base.be,l10n_be.state_be_wna
6721_Anlier,6721,Anlier,base.be,l10n_be.state_be_wlx
6890_Anloy,6890,Anloy,base.be,l10n_be.state_be_wlx
5537_AnnevoieRouillon,5537,Annevoie-Rouillon,base.be,l10n_be.state_be_wna
4430_Ans,4430,Ans,base.be,l10n_be.state_be_wlg
5500_Anseremme,5500,Anseremme,base.be,l10n_be.state_be_wna
7750_Anseroeul,7750,Anseroeul,base.be,l10n_be.state_be_wht
5520_Anthee,5520,Anthée,base.be,l10n_be.state_be_wna
4520_Antheit,4520,Antheit,base.be,l10n_be.state_be_wlg
4160_Anthisnes,4160,Anthisnes,base.be,l10n_be.state_be_wlg
7640_Antoing,7640,Antoing,base.be,l10n_be.state_be_wht
2000_Antwerpen,2000,Antwerpen,base.be,l10n_be.state_be_van
2018_Antwerpen,2018,Antwerpen,base.be,l10n_be.state_be_van
2020_Antwerpen,2020,Antwerpen,base.be,l10n_be.state_be_van
2030_Antwerpen,2030,Antwerpen,base.be,l10n_be.state_be_van
